Даты,Квартиры в новостройках и жилых комплексах за м2,Изменение,Квартиры (вторичный рынок) за м2,Изменение.1
19.09.2019,55392.5,-0.95%,60148.7,+0.33%
05.09.2019,55918.1,-0.03%,59949.8,-0.96%
22.08.2019,55935.8,+1.69%,60525.5,+0.83%
08.08.2019,54992.6,+0.16%,60023.8,-0.13%
25.07.2019,54902.4,-0.27%,60102.5,+0.37%
11.07.2019,55052.9,+0.13%,59880.8,-0.52%
27.06.2019,54980.5,+3.04%,60191.6,+0.66%
13.06.2019,53310.0,-1.11%,59793.6,-0.31%
30.05.2019,53904.1,+0.08%,59979.5,+0.27%
16.05.2019,53860.0,+4.13%,59815.5,-0.81%
02.05.2019,51636.6,-0.17%,60301.8,+0%
18.04.2019,51725.2,+3.3%,60299.6,+0.39%
04.04.2019,50018.4,-0.73%,60065.7,+0.22%
21.03.2019,50384.8,-0.5%,59934.5,-0.16%
07.03.2019,50637.7,+0.04%,60031.9,+0.06%
21.02.2019,50617.7,+1.46%,59996.0,+0.02%
07.02.2019,49878.7,-0.56%,59985.9,+0.29%
24.01.2019,50156.6,-0.28%,59810.8,-1.3%
10.01.2019,50294.6,+1.23%,60589.8,+0.1%
26.12.2018,49678.2,+0.67%,60530.3,+1.15%
06.12.2018,49346.4, ,59834.7, 
